"configuration","problem","model","data_file","status","time","objectiveBound","variables","solveTime","paths","intVars","peakMem","run","flatBoolVars","nodes","flatIntConstraints","openNodes","failures","peakDepth","initTime","propagations","boolVariables","flatIntVars","nSolutions","evaluatedHalfReifiedConstraints","flatBoolConstraints","flatTime","solver_objective","propagators","optTime","method","eliminatedImplications","backjumps","restarts","objective","randomSeed","eliminatedLinearConstraints","evaluatedReifiedConstraints","baseMem","nogoods","trailMem"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-03.dzn","OPTIMAL_SOLUTION","3.5200749170035124","6759","437","2.85","0","","19.0","endtimes_reverse-cp2025_big","1271","16570","1208","","8570","","0.04","","","333","2","","990","0.279069","6759","1179","","minimize","121","","","6759","","","912","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","UNKNOWN","303.65321938088164","","","","0","","","endtimes_reverse-cp2025_big","36713","","36009","","","","","","","2766","0","630","21710","2.61832","","","","minimize","1089","","","","","","33142","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-06.dzn","SATISFIED","301.65208692196757","143671","","53.2237","0","","","endtimes_reverse-cp2025_big","4332","","5094","","43043","","","21908563","2996","2451","4","1323","4235","1.01032","163414","","","minimize","1694","","","163414","","","1323","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-05.dzn","OPTIMAL_SOLUTION","8.018055660068057","16854","","6.29607","0","","","endtimes_reverse-cp2025_big","1196","","1322","","9491","","","6164248","545","633","10","378","1210","0.407305","16854","","","minimize","484","","","16854","","","378","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-06.dzn","SATISFIED","302.19194789696485","","","","0","","","endtimes_reverse-cp2025_big","13944","","14205","","","","","","","1669","1","292","8279","1.36109","","","","minimize","484","","","102278","","","11990","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","UNKNOWN","307.60298876208253","177227.020392","","267.005999","0","","","endtimes_reverse-cp2025_big","9972","1","180094","","","","","","","113053","0","103586","","32.9157","","","","minimize","","","","","","7625","10897","","",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-06.dzn","UNKNOWN","302.2716689510271","","","","0","","","endtimes_reverse-cp2025_big","14588","","14943","","","","","","","1733","0","288","8582","1.37397","","","","minimize","484","","","","","","12596","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-03.dzn","OPTIMAL_SOLUTION","16.203716853051446","42067","","15.5355","0","","","endtimes_reverse-cp2025_big","1497","1507","10928","138","","","","","","7259","24","6565","","2.38305","42067","","","minimize","","","","42067","","610","2308","","",""
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-05.dzn","OPTIMAL_SOLUTION","0.4712984360521659","580","","0.1956","0","","","endtimes_reverse-cp2025_big","37","0","97","","","","","","","94","1","95","","0.1926","580","","","minimize","","","","580","","","78","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-05.dzn","SATISFIED","301.13625604100525","40643","1441","299.25","0","","151.0","endtimes_reverse-cp2025_big","5932","570736","6266","","271341","","0.27","","","998","13","","3536","0.743344","44841","4911","","minimize","242","","","44841","","","4944","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-05.dzn","SATISFIED","302.43181382794864","","","","0","","","endtimes_reverse-cp2025_big","15013","","15399","","","","","","","1763","10","289","8780","1.38078","","","","minimize","484","","","90513","","","12992","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-01.dzn","UNKNOWN","312.0255936230533","","","","0","","","endtimes_reverse-cp2025_big","203136","","194096","","","","","","","7862","0","2736","118225","11.7273","","","","minimize","4840","","","","","","190770","","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-06.dzn","OPTIMAL_SOLUTION","2.975294381030835","1006","374","2.38","0","","10.0","endtimes_reverse-cp2025_big","1676","15309","1213","","7881","","0.03","","","382","2","","1675","0.266972","1006","1212","","minimize","242","","","1006","","","1202","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-02.dzn","OPTIMAL_SOLUTION","0.7512324110139161","","10367","0.017","0","377","0.0","endtimes_reverse-cp2025_big","1186","166","1175","","52","64","0.097","60340","9988","374","1","77","935","0.3147","8724","1618","0.012","minimize","121","50","1","8724","-1637539802","","728","0.0","52","0.19"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","SATISFIED","304.6335890660994","169582","5581","286.34","0","","1126.0","endtimes_reverse-cp2025_big","107433","69873","102323","","30121","","4.47","","","5309","162","","63957","6.67843","193061","59718","","minimize","3025","","","193061","","","101080","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-01.dzn","SATISFIED","301.4893463560147","108365","","34.7795","0","","","endtimes_reverse-cp2025_big","3300","","4188","","19240","","","9790664","2167","2003","3","945","3025","0.886534","139187","","","minimize","1210","","","139187","","","945","","",""
