"configuration","problem","model","data_file","status","time","objectiveBound","peakDepth","eliminatedLinearConstraints","flatIntVars","propagations","intVars","method","flatBoolConstraints","nodes","objective","restarts","evaluatedReifiedConstraints","flatTime","optTime","initTime","flatIntConstraints","randomSeed","nSolutions","failures","paths","solver_objective","variables","run","propagators","eliminatedImplications","baseMem","trailMem","openNodes","evaluatedHalfReifiedConstraints","solveTime","peakMem","boolVariables","flatBoolVars","nogoods","backjumps"
"chuffed_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-01.dzn","OPTIMAL_SOLUTION","1.38292643497698","","162","","777","1015079","783","minimize","3109","1077","2215","1","2792","0.51829","0.104","0.311","3424","502671799","1","616","0","2215","18048","makespan_reverse-cp2025","5487","363","0.0","0.63","","217","0.104","0.0","17263","3882","616","354"
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t050-03.dzn","UNKNOWN","310.2454216252081","","","","7877","","","minimize","118786","","","","191892","11.5156","","","195252","","0","","0","","","makespan_reverse-cp2025","","4840","","","","2735","","","","204267","",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-05.dzn","OPTIMAL_SOLUTION","6.8745068029966205","3531","","","1767","","","minimize","12677","4739","3531","","16779","1.41006","","0.92","17305","","2","2223","0","3531","1920","makespan_reverse-cp2025","11528","968","","","","","3.43","307.0","","18881","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t001-05.dzn","OPTIMAL_SOLUTION","0.6149850289802998","136","","","190","292","","minimize","605","","136","","189","0.213533","","","419","","1","0","0","136","","makespan_reverse-cp2025","","242","","","","189","0.062478","","79","494","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-01.dzn","OPTIMAL_SOLUTION","3.8999071039725095","","364","","1618","9920727","1628","minimize","9250","3870","3423","7","10506","1.19585","0.772","1.014","11589","-1899385096","1","3442","0","3423","32868","makespan_reverse-cp2025","20446","847","0.0","0.63","","491","0.776","0.0","31238","12878","3442","672"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","SATISFIED","302.2497177270707","7198","","","5112","3278515","","minimize","15125","","7699","","4725","1.87997","","","10311","","1","8332","0","7699","","makespan_reverse-cp2025","","6050","","","","4725","11.3644","","3478","12618","",""
"chuffed_fixed_priorityrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-01.dzn","OPTIMAL_SOLUTION","1.098772149067372","","163","","718","14939","725","minimize","3002","164","1764","1","2578","0.518092","0.014","0.182","3092","759349354","1","1","0","1764","10253","makespan_reverse-cp2025","4967","363","0.0","4.75","","217","0.014","0.0","9526","3626","1","1"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t012-04.dzn","OPTIMAL_SOLUTION","1.1975981509312987","2445","","","629","","","minimize","2115","540","2445","","2097","0.433996","","0.1","2614","","1","258","0","2445","809","makespan_reverse-cp2025","2381","242","","","","","0.18","52.0","","2779","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t030-03.dzn","UNKNOWN","304.69951895298436","","","","4168","","","minimize","40874","","","","58908","4.178969","","","61063","","0","","0","","","makespan_reverse-cp2025","","2420","","","","1375","","","","65279","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t019-01.dzn","SATISFIED","301.1689362239558","3829","","","1989","18284611","","minimize","5445","","4088","","1701","0.810068","","","4048","","2","19711","0","4088","","makespan_reverse-cp2025","","2178","","","","1701","13.7537","","1612","4668","",""
