"configuration","problem","model","data_file","status","time","failures","paths","run","intVars","method","randomSeed","backjumps","solveTime","nogoods","flatTime","error","openNodes","evaluatedReifiedConstraints","eliminatedImplications","flatIntVars","nodes","flatIntConstraints","propagators","restarts","trailMem","baseMem","eliminatedLinearConstraints","flatBoolConstraints","flatBoolVars","initTime","evaluatedHalfReifiedConstraints","nSolutions","boolVariables","peakDepth","propagations","peakMem","variables"
"cpsat_free_fixedorder_col2","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-05.dzn","ERROR","0.2119729481637478","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"gurobi_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","SATISFIED","31.337143898010254","","0","sat_appear-cp2025","","satisfy","","","30.252","","8.70402","","","9207","","30522","1","56908","","","","","3744","","3863","","18860","1","","","","",""
"chuffed_fixed_fixedorder_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t004-01.dzn","SATISFIED","1.189013797789812","0","0","sat_appear-cp2025","246","satisfy","-249460701","0","0.014","0","0.232896","","","500","121","244","54","677","964","0","0.63","0.0","","821","847","0.422","68","1","357858","53","2309","0.0","358106"
"chuffed_fixed_priority_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t002-04.dzn","SATISFIED","0.6531549729406834","0","0","sat_appear-cp2025","59","satisfy","-1237929748","0","0.005","0","0.206043","","","","","52","4","96","100","0","0.05","0.0","","","60","0.063","","1","50871","3","347","0.0","50932"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-05.dzn","SATISFIED","1.1220362298190594","0","0","sat_appear-cp2025","729","satisfy","1931417179","0","0.014","0","0.447272","","","1642","282","725","118","2357","3530","0","0.28","0.0","","2064","2484","0.21","202","1","11804","117","9868","0.0","12535"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-03.dzn","ERROR","0.23927923291921616","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_priorityrestart_col0","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-04.dzn","SATISFIED","1.4333603419363499","8","0","sat_appear-cp2025","892","satisfy","1742401866","0","0.022","8","0.554383","","","3706","484","889","216","4243","7122","0","2.11","0.0","","4137","5022","0.329","272","1","12249","207","33721","0.0","13143"
"cpotimizer_free_fixedorder_col1","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t011-02.dzn","UNKNOWN","300.86920342594385","27696220","0","sat_appear-cp2025","","satisfy","","","299.22","","0.765647","","","4500","524","1703","55548738","5327","5159","","","","","4894","5654","0.18","","0","","","","87.0","1612"
"cpsat_fixed_fixedorder_col3","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-03.dzn","ERROR","0.2392369695007801","","","sat_appear-cp2025","","","","","","","","no function or predicate with name `fzn_cumulative_opt' found","","","","","","","","","","","","","","","","","","","","",""
"chuffed_fixed_fixedorderrestart_col4","appear-cp2025","../models/solve_sat.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-04.dzn","SATISFIED","0.6900940015912056","0","0","sat_appear-cp2025","327","satisfy","-569674694","0","0.009","0","0.249403","","","546","136","323","59","846","1158","0","0.42","0.0","","881","937","0.062","90","1","7998","58","3189","0.0","8327"
