"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","method","flatIntConstraints","solveTime","failures","randomSeed","nSolutions","flatBoolConstraints","restarts","propagators","propagations","initTime","evaluatedHalfReifiedConstraints","peakMem","trailMem","baseMem","eliminatedLinearConstraints","boolVariables","objective","backjumps","openNodes","error","solver_objective","intVars","nodes","variables","peakDepth","flatTime","optTime","flatBoolVars","run","objectiveBound","eliminatedImplications","nogoods","flatIntVars"
"cpsat_free_fixedorder_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-03.dzn","ERROR","2.067093815887347","588","0","minimize","1863","","","","0","1929","","","","","648","","","","","","","","","terminate called after throwing an instance of 'std::out_of_range'
  what():  absl::container_internal::raw_hash_map<>::at","","","","","","0.506129","","1749","endtimes_reverse-cp2025","","786","","915"
"chuffed_fixed_standard_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-02.dzn","OPTIMAL_SOLUTION","8.666697622044012","8528","0","minimize","10065","5.652","3122","-934764044","2","7993","2","17102","27595567","0.923","621","0.0","16.02","0.0","","162120","36760","8700","","","36760","1880","12397","164002","316","1.19655","2.845","10781","endtimes_reverse-cp2025","","846","3122","1868"
"cpsat_fixed_fixedorder_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t004-05.dzn","OPTIMAL_SOLUTION","0.7310971620026976","189","0","minimize","515","0.079572","0","","1","605","","","4113","","189","","","","","73","1635","","","","1635","","","","","0.244376","","534","endtimes_reverse-cp2025","1635","242","","238"
"cpsat_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-04.dzn","UNSATISFIABLE","0.8595791039988399","41","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.58929","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t008-04.dzn","UNSATISFIABLE","0.877317694015801","28","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.607452","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_standard_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-02.dzn","OPTIMAL_SOLUTION","0.9286950188688934","1242","0","minimize","1799","0.014","1","-1965441363","1","1901","1","2594","8242","0.154","224","0.0","2.11","0.0","","86080","4062","0","","","4062","671","109","86753","108","0.424294","0.013","1994","endtimes_reverse-cp2025","","297","1","663"
"chuffed_fixed_priorityrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-03.dzn","UNSATISFIABLE","2.315121270949021","125","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.91035","","","endtimes_reverse-cp2025","","","",""
"cpotimizer_free_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-04.dzn","UNSATISFIABLE","3.1185002070851624","8726","0","minimize","9522","0.67","14","","0","7940","","7681","","0.62","","160.0","","","","","","","","","","","76","1918","","1.14675","","10400","endtimes_reverse-cp2025","20124","786","","1876"
"chuffed_fixed_priorityrestart_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t002-06.dzn","OPTIMAL_SOLUTION","1.2875341940671206","1094","0","minimize","1347","0.043","16","-1380225550","1","1763","1","2025","20758","0.486","180","0.0","3.16","0.0","","542215","1006","1","","","1006","471","118","542688","101","0.319154","0.024","1728","endtimes_reverse-cp2025","","272","16","470"
"chuffed_fixed_priorityrestart_col3","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-02.dzn","SATISFIED","301.83726241788827","8528","0","minimize","10065","298.766","784225","657234264","1","7993","20","17102","1490646393","0.94","621","0.0","16.02","0.0","","75716","36760","20896","","","36760","1880","805655","77598","318","1.22487","0.183","10781","endtimes_reverse-cp2025","","846","784225","1868"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t040-02.dzn","UNKNOWN","308.3202573659364","13152","0","minimize","222903","260.063","","","0","","","","","","128498","","","","9150","","","","","","","","1","","","39.8532","","11687","endtimes_reverse-cp2025","342637.286365","","","140030"
"cpsat_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t010-06.dzn","UNSATISFIABLE","0.9723152939695865","56","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","0.693536","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_priority_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t013-05.dzn","UNKNOWN","301.43591264402494","6209","0","minimize","7799","298.994","152349","-1359101173","0","6397","0","12775","361584907","0.603","624","0.0","10.68","0.0","","376816","","56","","","-1","1805","152412","378623","10","0.996999","0.0","8167","endtimes_reverse-cp2025","","780","152349","1796"
"chuffed_fixed_fixedorderrestart_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-03.dzn","UNSATISFIABLE","1.787928078090772","97","0","satisfy","","","","","","","","","","","","","","","","","","","","","","","","","","1.42484","","","endtimes_reverse-cp2025","","","",""
"chuffed_fixed_fixedorder_col2","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-03.dzn","UNKNOWN","301.931477783015","8354","0","minimize","10273","","","","0","8128","","","","","754","","","","","","","","","","","","","","","1.24927","","10720","endtimes_reverse-cp2025","","936","","2160"
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t018-03.dzn","SATISFIED","302.3081734289881","15662","0","minimize","16219","104.31","51098","","15","12658","","11300","","0.91","","365.0","","","","","47632","","","","47632","","106317","2114","","1.4012","","17999","endtimes_reverse-cp2025","46823","1089","","1969"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-05.dzn","OPTIMAL_SOLUTION","0.7809652879368514","750","0","minimize","1098","0.061","226","1707287835","1","946","2","1591","316534","0.085","75","0.0","0.28","0.0","","21044","5993","194","","","5993","330","444","21376","59","0.302256","0.019","1170","endtimes_reverse-cp2025","","121","226","326"
"chuffed_fixed_standardrestart_col4","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-03.dzn","UNKNOWN","300.7167924849782","1556","0","minimize","2182","299.528","752559","-2005386999","0","1994","19","3244","481936936","0.241","186","0.0","3.16","0.0","","127323","","752210","","","-1","659","1504868","127984","8","0.463694","0.0","2350","endtimes_reverse-cp2025","","272","752559","656"
"gurobi_free_fixedorder_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-06.dzn","OPTIMAL_SOLUTION","8.686688378918916","3134","0","minimize","20028","7.9978","","","15","","","","","","9528","","","","1830","","37830","","7","","37830","","38","","","3.10222","","2576","endtimes_reverse-cp2025","37830","","","11816"
"chuffed_fixed_fixedorderrestart_col0","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t021-02.dzn","SATISFIED","302.48197019891813","21882","0","minimize","23365","","","","1","17222","","","","","763","","","","","","52699","","","","","","","","","1.8095","","25508","endtimes_reverse-cp2025","","1331","","2434"
"cpotimizer_free_fixedorder_col1","reverse-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t003-05.dzn","OPTIMAL_SOLUTION","0.48796251113526523","16","0","minimize","151","0.01","4","","1","8","","236","","0.01","","1.0","","","","","1372","","","","1372","","0","159","","0.212526","","106","endtimes_reverse-cp2025","1372","","","74"
