"configuration","problem","model","data_file","status","time","method","solver_objective","boolVariables","flatBoolConstraints","optTime","variables","evaluatedReifiedConstraints","run","initTime","trailMem","paths","restarts","peakMem","objective","intVars","flatBoolVars","eliminatedLinearConstraints","nodes","flatIntConstraints","nSolutions","evaluatedHalfReifiedConstraints","peakDepth","solveTime","backjumps","openNodes","nogoods","propagators","objectiveBound","baseMem","eliminatedImplications","flatTime","flatIntVars","propagations","failures","randomSeed"
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t014-06.dzn","SATISFIED","301.5382205899805","minimize","5868","660","3025","","","945","makespan_reverse-cp2025_big","","","0","","","5868","","3342","","","4325","4","945","","2.31121","","","","","3124","","1210","0.909448","2067","619933","1635",""
"cpotimizer_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t011-06.dzn","OPTIMAL_SOLUTION","16.552244967082515","minimize","2477","","1380","","718","1705","makespan_reverse-cp2025_big","0.09","","0","","53.0","2477","","2202","","88093","2327","6","","","15.58","","","","2040","2477","","121","0.42098","490","","43474",""
"chuffed_fixed_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-01.dzn","SATISFIED","302.9460914940573","minimize","","","14197","","","21542","makespan_reverse-cp2025_big","","","0","","","5312","","24271","","","24380","1","425","","","","","","","","","726","2.00474","2278","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t016-04.dzn","UNKNOWN","302.83143905503675","minimize","","","13976","","","21100","makespan_reverse-cp2025_big","","","0","","","","","23822","","","23905","0","428","","","","","","","","","726","2.0149","2262","","",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t015-06.dzn","SATISFIED","301.3699995810166","minimize","4235","2585","3025","","","945","makespan_reverse-cp2025_big","","","0","","","4235","","3370","","","4384","6","945","","171.759","","","","","3287","","1210","0.925078","2096","59359372","90866",""
"cpsat_fixed_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t006-06.dzn","OPTIMAL_SOLUTION","0.8299171919934452","minimize","1213","79","605","","","189","makespan_reverse-cp2025_big","","","0","","","1213","","578","","","606","1","189","","0.092697","","","","","1213","","242","0.256958","282","4125","0",""
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-02.dzn","UNKNOWN","302.3857392161153","minimize","","","7260","","","2268","makespan_reverse-cp2025_big","","","0","","","","","6716","","","6769","0","2268","","","","","","","","","2904","1.36781","3290","","",""
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t009-01.dzn","OPTIMAL_SOLUTION","191.2881232141517","minimize","1764","2016032","5101","188.427","2017305","6776","makespan_reverse-cp2025_big","0.623","24.03","0","90","0.0","1764","1271","8239","","60633","8423","28","220","284","188.515","34866","","16486","14289","","0.0","363","0.87361","1245","308183615","16486","-127501713"
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-05.dzn","OPTIMAL_SOLUTION","0.6717539399396628","minimize","1454","9774","871","0.02","10073","600","makespan_reverse-cp2025_big","0.071","0.94","0","2","0.0","1454","297","993","","259","882","1","74","58","0.02","98","","100","1238","","0.0","121","0.27858","296","78040","100","1797573703"
"chuffed_free_priority_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","304.09352489118464","minimize","","","29874","","","46044","makespan_reverse-cp2025_big","","","0","","","","","50508","","","49070","0","832","","","","","","","","","1452","3.5752","3306","","",""
"chuffed_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t007-02.dzn","OPTIMAL_SOLUTION","1.1236562649719417","minimize","1480","6137","3136","0.012","6830","2846","makespan_reverse-cp2025_big","0.226","1.41","0","1","0.0","1480","691","3856","","163","3288","1","211","161","0.012","2","","1","5485","","0.0","363","0.484817","684","15894","1","-1201835875"
"cpsat_fixed_standard_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t022-01.dzn","UNKNOWN","302.3265415178612","minimize","","","7260","","","2268","makespan_reverse-cp2025_big","","","0","","","","","6716","","","6769","0","2268","","","","","","","","","2904","1.32294","3290","","",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t035-02.dzn","UNKNOWN","304.76592990080826","minimize","","","63957","","","99364","makespan_reverse-cp2025_big","","","0","","","","","107433","","","102371","0","1716","","","","","","","","","3025","6.81293","5357","","",""
"cpsat_free_fixedorder_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t005-05.dzn","OPTIMAL_SOLUTION","2.0701002022251487","minimize","1099","52","1210","","","378","makespan_reverse-cp2025_big","","","0","","","1099","","1334","","","1778","1","378","","0.290119","","","","","1099","","484","0.455644","835","4795","0",""
"chuffed_fixed_standardrestart_col0","reverse-cp2025","../models/solve_makespan.mzn:../models/pddl-print.mzn","reverse-cp2025/reverse-t017-02.dzn","SATISFIED","302.47418540599756","minimize","","","16738","","","24547","makespan_reverse-cp2025_big","","","0","","","5356","","27967","","","27361","2","1291","","","","","","","","","847","2.085039","2420","","",""
