configuration,problem,model,data_file,status,time,trailMem,nogoods,eliminatedLinearConstraints,flatBoolConstraints,backjumps,flatBoolVars,flatIntVars,objectiveBound,initTime,propagations,flatIntConstraints,method,peakDepth,failures,run,baseMem,boolVariables,eliminatedImplications,nSolutions,flatTime,openNodes,paths,intVars,peakMem,evaluatedHalfReifiedConstraints,randomSeed,solver_objective,solveTime,propagators,restarts,evaluatedReifiedConstraints,variables,nodes
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t018-02.dzn,SATISFIED,4.126123575028032,10.68,645.0,,10569.0,809.0,14593,1702,,1.242,2535002.0,12927,satisfy,403.0,645.0,results_sat_all,0.0,28207.0,968.0,1,1.32859,,0,1709.0,0.0,559.0,-1678091114.0,,0.37,23107.0,0.0,12002.0,29918.0,1858.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t018-03.dzn,SATISFIED,4.237775070942007,4.75,244.0,,11838.0,381.0,16279,1881,,1.378,1211479.0,14371,satisfy,460.0,244.0,results_sat_all,0.0,27711.0,1089.0,1,1.41043,,0,1889.0,0.0,624.0,163959624.0,,0.159,25777.0,0.0,13398.0,29602.0,1086.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t019-01.dzn,SATISFIED,4.774207948008552,7.12,562.0,,12153.0,705.0,16924,1894,,1.517,2560621.0,15027,satisfy,452.0,562.0,results_sat_all,0.0,33519.0,1089.0,1,1.47337,,0,1902.0,0.0,627.0,-402352146.0,,0.322,27016.0,0.0,14028.0,35423.0,1720.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t019-02.dzn,SATISFIED,4.051819460000843,7.12,213.0,,11851.0,418.0,16320,1894,,1.332,1052849.0,14423,satisfy,466.0,213.0,results_sat_all,0.0,25908.0,1089.0,1,1.35744,,0,1902.0,0.0,627.0,575014284.0,,0.152,25808.0,0.0,13424.0,27812.0,1098.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t019-03.dzn,SATISFIED,5.419440308935009,3.16,2748.0,,12687.0,235.0,17992,1894,,1.573,10412582.0,16095,satisfy,454.0,2748.0,results_sat_all,0.0,37682.0,1089.0,1,1.52377,,0,1902.0,0.0,627.0,-758244622.0,,0.886,29152.0,0.0,15096.0,39586.0,3438.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t001-01.dzn,SATISFIED,0.8100400760304183,0.05,0.0,,,0.0,14,17,,0.019,52.0,36,satisfy,0.0,0.0,results_sat_all,0.0,10807.0,,1,0.302669,,0,19.0,0.0,,1716983526.0,,0.007,31.0,0.0,,10828.0,1.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t001-02.dzn,SATISFIED,0.7857433059252799,0.05,0.0,,,0.0,14,17,,0.018,52.0,36,satisfy,0.0,0.0,results_sat_all,0.0,10359.0,,1,0.288251,,0,19.0,0.0,,640076915.0,,0.007,31.0,0.0,,10380.0,1.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t001-03.dzn,SATISFIED,0.96950992802158,0.04,0.0,,,0.0,14,17,,0.018,52.0,36,satisfy,0.0,0.0,results_sat_all,0.0,9267.0,,1,0.335438,,0,19.0,0.0,,-1988437767.0,,0.007,31.0,0.0,,9288.0,1.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t020-01.dzn,SATISFIED,6.704314008005895,1.41,7072.0,,13526.0,149.0,18833,2086,,1.61,22956874.0,16705,satisfy,499.0,7072.0,results_sat_all,0.0,50680.0,1210.0,1,1.63543,,0,2095.0,0.0,695.0,-999803535.0,,1.983,30081.0,0.0,15632.0,52777.0,7721.0
chuffed_fixed_fixedorder_col0,rnd_large,../models/solve_sat.mzn:../models/pddl-print.mzn,cp2025/t020-02.dzn,SATISFIED,5.019214236061089,2.11,507.0,,13517.0,119.0,18815,2086,,1.848,1611108.0,16687,satisfy,503.0,507.0,results_sat_all,0.0,33007.0,1210.0,1,1.50304,,0,2095.0,0.0,695.0,1516710757.0,,0.204,30045.0,0.0,15614.0,35104.0,1130.0
