"configuration","problem","model","data_file","status","time","paths","randomSeed","nSolutions","flatIntConstraints","propagations","failures","baseMem","evaluatedReifiedConstraints","solveTime","openNodes","eliminatedImplications","intVars","initTime","optTime","eliminatedLinearConstraints","trailMem","variables","restarts","peakMem","flatBoolVars","solver_objective","run","flatTime","boolVariables","objectiveBound","peakDepth","propagators","nodes","flatBoolConstraints","flatIntVars","backjumps","evaluatedHalfReifiedConstraints","objective","nogoods","method"
"cpsat_free_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-02.dzn","OPTIMAL_SOLUTION","2.0696354169631377","0","","3","1335","22959","19","","394","0.438697","","534","","","","","","","","","1236","18966","endtimes_appear-cp2025","0.418458","64","18966","","","","1314","677","","454","18966","","minimize"
"cpotimizer_free_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t021-02.dzn","UNKNOWN","302.5396443459904","0","","0","23429","","","","21643","","","1441","","1.56","","","","3849","","427.0","24542","","endtimes_appear-cp2025","2.37484","","","","17918","","18088","4430","","","","","minimize"
"chuffed_fixed_priorityrestart_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t030-01.dzn","SATISFIED","304.9843408970628","0","","2","63102","","","","54414","","","3920","","","","","","","","","62378","","endtimes_appear-cp2025","5.29585","","","","","","42537","9437","","4232","108504","","minimize"
"cpsat_fixed_standard_col0","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-05.dzn","OPTIMAL_SOLUTION","0.830019294982776","0","","2","634","7578","4","","189","0.09681","","242","","","","","","","","","576","6536","endtimes_appear-cp2025","0.23516","81","6536","","","","605","295","","189","6536","","minimize"
"cpsat_fixed_fixedorder_col1","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t019-01.dzn","OPTIMAL_SOLUTION","8.694397339015268","0","","3","6596","561359","42","","1908","2.77446","","2943","","","","","","","","","5647","39122","endtimes_appear-cp2025","1.33615","1499","39122","","","","7263","3677","","3078","39122","","minimize"
"chuffed_fixed_priority_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t007-01.dzn","OPTIMAL_SOLUTION","0.661874414072372","0","-1360890805","1","979","3935","1","0.0","607","0.004","","141","379","0.063","0.004","","3.16","9837","1","0.0","1060","8137","endtimes_appear-cp2025","0.311858","9456","","61","1336","62","925","374","0","113","8137","1","minimize"
"cpotimizer_free_fixedorder_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t012-01.dzn","OPTIMAL_SOLUTION","1.9366491800174117","0","","1","4491","","8","","4116","0.35","","504","","0.28","","","","1073","","79.0","5188","15238","endtimes_appear-cp2025","0.577997","","15238","","3870","12","4307","1032","","","15238","","minimize"
"chuffed_fixed_standardrestart_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t025-03.dzn","OPTIMAL_SOLUTION","7.224478896008804","0","950728370","1","35635","715673","14","0.0","33374","0.255","","2040","3740","2.353","0.17","","24.03","98418","1","0.0","38288","73379","endtimes_appear-cp2025","2.72778","94676","","768","65763","897","25807","3718","115","1353","73379","14","minimize"
"cpsat_fixed_standard_col4","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t006-06.dzn","OPTIMAL_SOLUTION","0.8227487250696868","0","","1","653","8704","1","","196","0.104465","","262","","","","","","","","","593","3891","endtimes_appear-cp2025","0.247299","94","3891","","","","643","309","","216","3891","","minimize"
"chuffed_fixed_fixedorder_col3","appear-cp2025","../models/solve_endtimes.mzn:../models/pddl-print.mzn","appear-cp2025/appear-t035-03.dzn","SATISFIED","304.18302291899454","0","","2","83357","","","","79159","","","3525","","","","","","","","","87436","","endtimes_appear-cp2025","5.72536","","","","","","55117","6633","","2531","146174","","minimize"
